id;issuenumber;location;title;description;thumbnail;thumbnail_content_type
1;79829;cross-platform Buckinghamshire solid;withdrawal Tasty;Cotton index payment;../fake-data/blob/hipster.png;image/png
2;75030;connect;Frozen Carolina;Rubber;../fake-data/blob/hipster.png;image/png
3;83307;cross-media;Soap;human-resource Chief Checking;../fake-data/blob/hipster.png;image/png
4;39157;calculating full-range system-worthy;microchip open;Virginia generate Senior;../fake-data/blob/hipster.png;image/png
5;27245;Diverse Handcrafted;Bike;Functionality Tasty Keyboard;../fake-data/blob/hipster.png;image/png
6;16236;Directives Card multi-byte;Human monitor Avon;Malaysian;../fake-data/blob/hipster.png;image/png
7;73586;EXE Frozen;extranet index Kansas;models PNG;../fake-data/blob/hipster.png;image/png
8;35305;Fantastic;Assurance systems Shoes;District Rubber Plastic;../fake-data/blob/hipster.png;image/png
9;59631;Refined Colombia;Avon Kansas Drive;application Optional;../fake-data/blob/hipster.png;image/png
10;11013;Handmade turquoise;orchestrate deliver;value-added New firewall;../fake-data/blob/hipster.png;image/png
